Date,Area Name,Latitude,Longitude,Number of Cases,Number of Hospitals,Number of Deaths,Temperature (°C),Humidity (%)
2024-01-01,Pallavaram,12.9676,80.1496,7,3,1,34.81765991103911,69.156868276324
2024-01-02,Pallavaram,12.9676,80.1496,3,9,0,32.994375578571336,62.662379949665194
2024-01-03,Pallavaram,12.9676,80.1496,5,3,1,33.39847986428,52.667256467058614
2024-01-04,Pallavaram,12.9676,80.1496,6,6,0,29.566822618925055,69.65343693526492
2024-01-05,Pallavaram,12.9676,80.1496,10,6,1,29.175311833717856,81.06047483119626
2024-01-06,Pallavaram,12.9676,80.1496,3,5,0,32.03541991049904,82.0358325662855
2024-01-07,Pallavaram,12.9676,80.1496,4,7,0,33.309729169275336,67.33727573326921
2024-01-08,Pallavaram,12.9676,80.1496,4,2,0,29.18925344242372,56.64212114323586
2024-01-09,Pallavaram,12.9676,80.1496,3,9,1,28.60534670190109,55.345109313366656
2024-01-10,Pallavaram,12.9676,80.1496,7,3,2,28.926114668654503,70.98941004493498
2024-01-11,Pallavaram,12.9676,80.1496,7,5,1,31.455442983791798,83.08478244042635
2024-01-12,Pallavaram,12.9676,80.1496,7,9,0,34.41164602958499,54.951630617214484
2024-01-13,Pallavaram,12.9676,80.1496,3,9,0,31.47864710719572,73.79067166814524
2024-01-14,Pallavaram,12.9676,80.1496,9,5,0,30.998784904948195,61.45855989344514
2024-01-15,Pallavaram,12.9676,80.1496,7,7,0,32.2652132840797,59.62671369832443
2024-01-16,Pallavaram,12.9676,80.1496,3,3,0,30.21960388297314,67.86288957467468
2024-01-17,Pallavaram,12.9676,80.1496,6,1,1,25.75403125649377,62.97453750555751
2024-01-18,Pallavaram,12.9676,80.1496,3,5,1,29.37059078847338,80.09737857164448
2024-01-19,Pallavaram,12.9676,80.1496,4,4,1,34.40473632109601,53.78877466245155
2024-01-20,Pallavaram,12.9676,80.1496,2,1,1,26.126774117941302,52.07039824018198
2024-01-21,Pallavaram,12.9676,80.1496,1,5,0,25.421941100511035,73.56654021224179
2024-01-22,Pallavaram,12.9676,80.1496,5,2,1,34.6932215472962,69.91019793310922
2024-01-23,Pallavaram,12.9676,80.1496,6,8,0,32.227740716911086,73.82125669699107
2024-01-24,Pallavaram,12.9676,80.1496,2,8,1,32.73588744874949,82.8000179278772
2024-01-25,Pallavaram,12.9676,80.1496,4,9,2,33.80747160823894,53.721364179453076
2024-01-26,Pallavaram,12.9676,80.1496,8,1,0,29.99094188973185,62.60386723053804
2024-01-27,Pallavaram,12.9676,80.1496,2,3,0,25.319896746390192,69.40278482174412
